,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
436,2022,Expert,Full-time,Applied Scientist,142800,USD,142800,US,WFH,US,Medium
437,2022,Intermediate,Full-time,Data Scientist,70000,EUR,73701,NL,Hybrid,NL,Big Enterprise
438,2022,Junior,Full-time,Data Scientist,50000,USD,50000,US,Hybrid,DE,Medium
439,2022,Junior,Full-time,Data Analyst,500000,INR,6413,FR,WFH,IN,Big Enterprise
440,2022,Expert,Full-time,Data Scientist,151800,USD,151800,US,WFO,US,Medium
441,2022,Expert,Full-time,Data Scientist,130240,USD,130240,US,WFO,US,Medium
442,2022,Expert,Full-time,Analytics Engineer,165000,USD,165000,US,WFH,US,Medium
443,2022,Expert,Full-time,Analytics Engineer,140250,USD,140250,US,WFH,US,Medium
444,2022,Expert,Full-time,Data Engineer,135000,USD,135000,US,WFO,US,Medium
445,2022,Expert,Full-time,Data Engineer,115000,USD,115000,US,WFO,US,Medium
446,2022,Expert,Full-time,Data Scientist,179400,USD,179400,US,WFH,US,Medium
447,2022,Expert,Full-time,Data Scientist,154000,USD,154000,US,WFH,US,Medium
448,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
449,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
450,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
451,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
452,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
453,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
454,2022,Intermediate,Full-time,Financial Data Analyst,75000,USD,75000,US,WFO,US,Medium
455,2022,Intermediate,Full-time,Data Engineer,80000,EUR,84229,GR,WFH,GR,Medium
456,2022,Intermediate,Full-time,Data Engineer,70000,EUR,73701,GR,WFH,GR,Medium
457,2022,Intermediate,Full-time,Data Engineer,80000,GBP,99084,GB,WFH,GB,Medium
458,2022,Intermediate,Full-time,Data Engineer,70000,GBP,86698,GB,WFH,GB,Medium
459,2022,Intermediate,Full-time,Data Engineer,80000,EUR,84229,ES,WFH,ES,Medium
460,2022,Intermediate,Full-time,Data Engineer,70000,EUR,73701,ES,WFH,ES,Medium
461,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
462,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
463,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
464,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
465,2022,Expert,Full-time,Analytics Engineer,83376,GBP,103265,GB,WFH,GB,Medium
466,2022,Expert,Full-time,Analytics Engineer,65004,GBP,80510,GB,WFH,GB,Medium
467,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
468,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
469,2022,Expert,Full-time,Data Engineer,84958,GBP,105224,GB,WFH,GB,Medium
470,2022,Expert,Full-time,Data Engineer,66822,GBP,82762,GB,WFH,GB,Medium
471,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
472,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
473,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFO,US,Medium
474,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFO,US,Medium
475,2022,Expert,Full-time,Data Analyst,115000,USD,115000,US,WFO,US,Big Enterprise
476,2022,Junior,Full-time,Data Scientist,30000,EUR,31586,ES,Hybrid,ES,Medium
477,2022,Expert,Full-time,Data Operations Analyst,81000,USD,81000,US,WFH,US,Medium
478,2022,Expert,Full-time,Data Operations Analyst,66000,USD,66000,US,WFH,US,Medium
479,2022,Junior,Full-time,Data Analyst,46000,USD,46000,US,WFH,US,Big Enterprise
480,2022,Junior,Full-time,Data Engineer,80000,USD,80000,US,WFH,US,Big Enterprise
481,2022,Director,Full-time,Machine Learning Scientist,200000,USD,200000,US,WFH,US,Startup
482,2022,Director,Full-time,Machine Learning Scientist,180000,USD,180000,US,WFH,US,Startup
483,2022,Director,Full-time,AI Scientist,200000,USD,200000,US,WFH,US,Startup
484,2022,Expert,Full-time,Data Scientist,204100,USD,204100,US,WFO,US,Medium
485,2022,Expert,Full-time,Data Scientist,136100,USD,136100,US,WFO,US,Medium
486,2022,Expert,Full-time,Analytics Engineer,250000,USD,250000,US,WFO,US,Medium
487,2022,Expert,Full-time,Analytics Engineer,63000,USD,63000,US,WFO,US,Medium
488,2022,Intermediate,Full-time,Data Scientist,96000,GBP,118900,GB,WFO,GB,Medium
489,2022,Intermediate,Full-time,Data Scientist,90000,GBP,111469,GB,WFO,GB,Medium
490,2021,Junior,Part-time,Computer Vision Software Engineer,120000,DKK,19073,DK,Hybrid,DK,Big Enterprise
491,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
492,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
493,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
494,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
495,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
496,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
497,2022,Expert,Full-time,Data Specialist,95000,USD,95000,US,WFH,US,Medium
498,2022,Expert,Full-time,Data Specialist,70000,USD,70000,US,WFH,US,Medium
499,2022,Intermediate,Full-time,Applied Machine Learning Scientist,75000,USD,75000,BO,WFH,US,Medium
500,2022,Intermediate,Contract,Analytics Engineer,7500,USD,7500,BO,Hybrid,BO,Medium
501,2022,Intermediate,Full-time,Data Analyst,113000,USD,113000,US,WFO,US,Big Enterprise
502,2022,Expert,Full-time,Data Scientist,170000,USD,170000,US,WFH,US,Medium
503,2022,Expert,Full-time,Data Scientist,130000,USD,130000,US,WFH,US,Medium
504,2022,Intermediate,Full-time,Data Analytics Consultant,113000,USD,113000,US,WFH,US,Big Enterprise
505,2022,Intermediate,Full-time,Product Data Analyst,140000,USD,140000,US,WFH,US,Medium
506,2021,Expert,Full-time,Data Analyst,50000,USD,50000,PH,WFH,PH,Startup
507,2022,Intermediate,Full-time,BI Data Analyst,77000,AUD,53767,AU,WFH,AU,Medium
508,2022,Expert,Full-time,Data Scientist,175000,USD,175000,US,WFO,US,Medium
509,2022,Expert,Full-time,Data Scientist,140000,USD,140000,US,WFO,US,Medium
510,2022,Junior,Full-time,3D Computer Vision Researcher,2324,USD,2324,AX,WFO,AL,Big Enterprise
511,2022,Expert,Full-time,Lead Data Scientist,28500,EUR,30006,PT,Hybrid,PT,Startup
512,2022,Expert,Full-time,Analytics Engineer,250000,USD,250000,US,WFO,US,Medium
513,2022,Expert,Full-time,Analytics Engineer,63000,USD,63000,US,WFO,US,Medium
514,2022,Expert,Full-time,Data Scientist,160000,USD,160000,US,WFO,US,Big Enterprise
515,2022,Expert,Full-time,Data Scientist,119300,USD,119300,US,WFO,US,Big Enterprise
516,2022,Intermediate,Full-time,Research Scientist,145000,USD,145000,US,Hybrid,US,Big Enterprise
517,2022,Expert,Full-time,Data Engineer,105000,USD,105000,US,WFO,US,Medium
518,2022,Expert,Full-time,Data Engineer,90000,USD,90000,US,WFO,US,Medium
519,2022,Expert,Full-time,ETL Developer,146200,USD,146200,US,WFH,US,Medium
520,2022,Expert,Full-time,ETL Developer,124270,USD,124270,US,WFH,US,Medium
521,2022,Intermediate,Full-time,Data Scientist,225000,USD,225000,US,WFO,US,Medium
522,2022,Intermediate,Full-time,Data Scientist,160000,USD,160000,US,WFO,US,Medium
523,2022,Intermediate,Full-time,Data Scientist,52000,EUR,54749,NL,WFH,NL,Startup
524,2022,Expert,Full-time,Data Engineer,185800,USD,185800,CA,WFH,CA,Medium
525,2022,Expert,Full-time,Data Engineer,137400,USD,137400,CA,WFH,CA,Medium
526,2022,Expert,Full-time,Analytics Engineer,245000,USD,245000,US,WFO,US,Medium
527,2022,Expert,Full-time,Analytics Engineer,180000,USD,180000,US,WFO,US,Medium
528,2022,Expert,Full-time,Analytics Engineer,203500,USD,203500,US,WFO,US,Medium
529,2022,Expert,Full-time,Analytics Engineer,152000,USD,152000,US,WFO,US,Medium
530,2022,Expert,Full-time,Data Engineer,250000,USD,250000,US,WFO,US,Medium
531,2022,Expert,Full-time,Data Engineer,63000,USD,63000,US,WFO,US,Medium
532,2022,Expert,Full-time,Machine Learning Infrastructure Engineer,186000,USD,186000,US,WFH,US,Medium
533,2022,Expert,Full-time,Machine Learning Infrastructure Engineer,148800,USD,148800,US,WFH,US,Medium
534,2022,Expert,Full-time,Lead Machine Learning Engineer,7500000,INR,96209,IN,Hybrid,IN,Big Enterprise
535,2022,Intermediate,Full-time,Machine Learning Engineer,104000,GBP,128809,GB,Hybrid,GB,Big Enterprise
536,2022,Junior,Full-time,Data Scientist,82000,USD,82000,US,WFO,US,Big Enterprise
537,2022,Junior,Part-time,Data Scientist,110000,USD,110000,DO,WFH,FR,Medium
538,2022,Intermediate,Full-time,Applied Machine Learning Scientist,173000,USD,173000,US,Hybrid,US,Medium
539,2022,Expert,Full-time,Data Scientist,203500,USD,203500,US,WFO,US,Medium
540,2022,Expert,Full-time,Data Scientist,152000,USD,152000,US,WFO,US,Medium
541,2022,Expert,Full-time,Machine Learning Engineer,186000,USD,186000,US,WFH,US,Medium
542,2022,Expert,Full-time,Machine Learning Engineer,148800,USD,148800,US,WFH,US,Medium
543,2022,Junior,Full-time,BI Data Analyst,32400,BRL,6294,BR,WFH,BR,Big Enterprise
544,2022,Intermediate,Full-time,Data Science Manager,158000,USD,158000,US,WFH,US,Medium
545,2022,Intermediate,Full-time,Data Science Manager,134000,USD,134000,US,WFH,US,Medium
546,2022,Expert,Full-time,Data Scientist,170000,USD,170000,US,WFH,US,Medium
547,2022,Expert,Full-time,Data Scientist,120000,USD,120000,US,WFH,US,Medium
548,2022,Director,Full-time,Analytics Engineer,200000,USD,200000,US,WFH,US,Medium
549,2022,Director,Full-time,Analytics Engineer,150000,USD,150000,US,WFH,US,Medium
550,2022,Expert,Full-time,Data Analyst,216200,USD,216200,US,WFO,US,Medium
551,2022,Expert,Full-time,Data Analyst,144100,USD,144100,US,WFO,US,Medium
552,2022,Intermediate,Full-time,Data Scientist,110000,EUR,115816,NL,WFO,NL,Medium
553,2022,Intermediate,Full-time,Data Scientist,85000,EUR,89494,NL,WFO,NL,Medium
554,2022,Expert,Full-time,ETL Developer,250000,USD,250000,US,WFO,US,Medium
555,2022,Expert,Full-time,ETL Developer,63000,USD,63000,US,WFO,US,Medium
556,2022,Expert,Full-time,Data Engineer,135000,USD,135000,US,WFH,US,Medium
557,2022,Expert,Full-time,Data Engineer,85000,USD,85000,US,WFH,US,Medium
558,2022,Expert,Full-time,Machine Learning Engineer,135000,USD,135000,US,WFH,US,Medium
559,2022,Expert,Full-time,Machine Learning Engineer,85000,USD,85000,US,WFH,US,Medium
560,2022,Expert,Full-time,Data Science Manager,206000,USD,206000,US,WFH,US,Medium
561,2022,Expert,Full-time,Data Science Manager,175100,USD,175100,US,WFH,US,Medium
562,2022,Expert,Full-time,Machine Learning Engineer,189650,USD,189650,US,WFO,US,Medium
563,2022,Expert,Full-time,Machine Learning Engineer,164996,USD,164996,US,WFO,US,Medium
564,2022,Expert,Full-time,Data Architect,149040,USD,149040,US,WFH,US,Medium
565,2022,Expert,Full-time,Data Architect,113900,USD,113900,US,WFH,US,Medium
566,2022,Expert,Full-time,Data Engineer,154000,USD,154000,US,WFH,US,Medium
567,2022,Expert,Full-time,Data Engineer,126000,USD,126000,US,WFH,US,Medium
568,2022,Expert,Full-time,Machine Learning Engineer,200000,USD,200000,US,WFH,US,Big Enterprise
569,2022,Expert,Full-time,Machine Learning Engineer,150000,USD,150000,US,WFH,US,Big Enterprise
570,2022,Expert,Full-time,Data Engineer,195700,USD,195700,US,WFO,US,Medium
571,2022,Expert,Full-time,Data Engineer,130500,USD,130500,US,WFO,US,Medium
572,2022,Expert,Full-time,Analytics Engineer,170000,USD,170000,US,WFH,US,Medium
573,2022,Expert,Full-time,Analytics Engineer,135000,USD,135000,US,WFH,US,Medium
574,2022,Intermediate,Full-time,Data Engineer,80000,GBP,99084,GB,WFO,GB,Medium
575,2022,Intermediate,Full-time,Data Engineer,60000,GBP,74313,GB,WFO,GB,Medium
576,2022,Expert,Full-time,Data Analyst,117000,USD,117000,US,WFH,US,Medium
577,2022,Expert,Full-time,Data Analyst,99450,USD,99450,US,WFH,US,Medium
578,2022,Expert,Full-time,Data Engineer,200000,USD,200000,PR,WFH,PR,Medium
579,2022,Expert,Full-time,Data Engineer,135000,USD,135000,PR,WFH,PR,Medium
580,2022,Expert,Full-time,Machine Learning Engineer,193900,USD,193900,US,WFO,US,Medium
